iter	RMSE
0	11183.61993
1	10342.77342
2	9619.199753
3	8924.594758
4	8305.217731
5	7758.925251
6	7262.185067
7	6844.709259
8	6463.713419
9	6125.882638
10	5811.326531
11	5545.818894
12	5322.45251
13	5134.111101
14	4954.95472
15	4797.109741
16	4664.32193
17	4543.979473
18	4450.498562
19	4359.886439
20	4278.894299
21	4204.224694
22	4136.327347
23	4080.604487
24	4028.440596
25	3988.592241
26	3948.472173
27	3915.33604
28	3878.16784
29	3836.835422
30	3802.445009
31	3777.113381
32	3753.961922
33	3728.397158
34	3713.403038
35	3692.018245
36	3678.814706
37	3666.137039
38	3654.362606
39	3639.829228
40	3629.559882
41	3617.006965
42	3609.121958
43	3602.717823
44	3594.503114
45	3586.025931
46	3575.072827
47	3567.228486
48	3559.029176
49	3553.515732
50	3549.007246
51	3535.107448
52	3518.370202
53	3516.442395
54	3507.065116
55	3496.633383
56	3491.599671
57	3486.034477
58	3474.32939
59	3467.578618
60	3462.887434
61	3456.326617
62	3449.203981
63	3444.730743
64	3438.800846
65	3433.62106
66	3429.266433
67	3420.786899
68	3414.880612
69	3411.045478
70	3401.99652
71	3399.114725
72	3391.626261
73	3373.231433
74	3362.079961
75	3355.925338
76	3350.015304
77	3346.07229
78	3339.991701
79	3335.503787
80	3327.321611
81	3322.655487
82	3316.743276
83	3309.335757
84	3303.463017
85	3299.291373
86	3290.20793
87	3280.110949
88	3276.863798
89	3270.823026
90	3263.020702
91	3255.994952
92	3247.814699
93	3240.844
94	3237.095281
95	3226.056372
96	3222.169951
97	3216.128412
98	3209.5637
99	3204.749176
