iter	Passed	Remaining
0	1	151
1	2	132
2	3	123
3	5	121
4	6	120
5	7	118
6	8	114
7	9	111
8	10	109
9	11	107
10	13	106
11	14	105
12	15	104
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	22	97
19	23	95
20	25	94
21	26	92
22	27	92
23	28	90
24	29	89
25	31	89
26	32	88
27	33	87
28	35	86
29	36	85
30	38	84
31	39	83
32	40	82
33	41	80
34	42	79
35	44	78
36	45	77
37	46	76
38	47	75
39	49	74
40	50	73
41	52	72
42	53	71
43	55	70
44	56	69
45	58	68
46	59	67
47	61	66
48	62	64
49	63	63
50	65	62
51	66	61
52	67	60
53	68	58
54	69	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	51
60	78	49
61	79	48
62	80	47
63	82	46
64	83	45
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	93	34
73	94	33
74	95	31
75	97	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	107	20
84	108	19
85	109	17
86	110	16
87	112	15
88	113	13
89	114	12
90	115	11
91	117	10
92	118	8
93	120	7
94	121	6
95	122	5
96	124	3
97	125	2
98	127	1
99	128	0
