price,year,odometer,manufacturer,model,condition,cylinders,fuel,transmission,type,age,cluster,cluster_name
27990,2012,68696,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,other,pickup,9,1,中端车
34590,2016,29499,chevrolet,silverado 1500 double,good,6 cylinders,gas,other,pickup,5,2,高端车
29990,2016,17302,chevrolet,colorado extended cab,good,6 cylinders,gas,other,pickup,5,2,高端车
38590,2011,30237,chevrolet,corvette grand sport,good,8 cylinders,gas,other,other,10,2,高端车
32990,2017,30041,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,other,4,2,高端车
37990,2016,9704,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,other,coupe,5,2,高端车
27990,2018,37332,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,other,pickup,3,2,高端车
34990,2018,18650,ford,mustang gt premium,good,8 cylinders,gas,other,other,3,2,高端车
29990,2014,26129,chevrolet,silverado 1500 double,good,8 cylinders,gas,other,pickup,7,1,中端车
33990,2017,34152,jeep,wrangler unlimited sahara,good,6 cylinders,other,other,SUV,4,2,高端车
29590,2017,70760,ford,expedition xlt sport,good,6 cylinders,gas,other,SUV,4,1,中端车
29990,2012,43182,toyota,tacoma double cab pickup,good,6 cylinders,gas,other,pickup,9,1,中端车
33990,2017,17033,ram,1500 crew cab tradesman,good,8 cylinders,gas,other,pickup,4,2,高端车
36590,2019,14222,gmc,sierra 1500 limited double,good,8 cylinders,gas,other,pickup,2,2,高端车
40590,2019,9313,ford,f250 super duty regular cab,good,8 cylinders,other,other,pickup,2,2,高端车
33990,2018,34636,jeep,wrangler unlimited willys,good,6 cylinders,gas,other,other,3,2,高端车
38990,2017,20676,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,other,other,4,2,高端车
39590,2018,21893,jeep,wrangler unlimited all new,good,6 cylinders,gas,other,SUV,3,2,高端车
28590,2018,20736,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,other,SUV,3,2,高端车
38990,2020,5279,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,other,other,1,2,高端车
32990,2019,1423,jeep,wrangler sport suv 2d,good,6 cylinders,other,other,SUV,2,2,高端车
27590,2012,52172,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,SUV,9,1,中端车
33590,2017,37919,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,SUV,4,2,高端车
31590,2017,35391,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,SUV,4,2,高端车
30990,2017,43039,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,SUV,4,2,高端车
20590,2018,71021,chrysler,300 limited sedan 4d,good,6 cylinders,gas,other,sedan,3,1,中端车
26990,2017,41335,nissan,titan single cab sv,good,8 cylinders,gas,other,pickup,4,1,中端车
27990,2012,68696,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,other,pickup,9,1,中端车
29990,2016,17302,chevrolet,colorado extended cab,good,6 cylinders,gas,other,pickup,5,2,高端车
35590,2010,31879,chevrolet,corvette convertible,good,8 cylinders,gas,other,other,11,2,高端车
9000,2008,56700,mazda,miata mx-5,excellent,4 cylinders,gas,automatic,convertible,13,3,老旧车
31990,2017,891,jeep,wrangler sport s utility 2d,good,6 cylinders,gas,other,other,4,2,高端车
32990,2017,30041,jeep,wrangler unlimited sport,good,6 cylinders,gas,other,other,4,2,高端车
39590,2020,1419,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,other,coupe,1,2,高端车
8950,2011,164000,ford,f-150,excellent,6 cylinders,gas,automatic,truck,10,3,老旧车
9400,2008,129473,mercedes-benz,benz c350,good,6 cylinders,gas,automatic,sedan,13,3,老旧车
7300,2007,181000,lexus,rx350,good,6 cylinders,gas,automatic,SUV,14,3,老旧车
28900,2017,94601,audi,q7,good,6 cylinders,gas,automatic,SUV,4,1,中端车
17000,2019,14898,chevrolet,trax,good,4 cylinders,gas,automatic,SUV,2,1,中端车
5950,2007,72000,mitsubishi,eclipse,good,4 cylinders,gas,manual,hatchback,14,3,老旧车
8900,2013,142900,toyota,prius,excellent,4 cylinders,hybrid,automatic,wagon,8,0,经济型车
39990,2019,8373,nissan,370z nismo coupe 2d,good,6 cylinders,gas,other,coupe,2,2,高端车
10800,2013,147000,toyota,camry,excellent,4 cylinders,hybrid,automatic,sedan,8,0,经济型车
34990,2018,22064,ram,1500 quad cab big horn,good,6 cylinders,other,other,pickup,3,2,高端车
36990,2018,21415,toyota,4runner sr5 sport utility,good,6 cylinders,gas,other,other,3,2,高端车
30990,2017,31095,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,other,pickup,4,2,高端车
10500,2008,122904,infiniti,ex35,good,6 cylinders,gas,automatic,wagon,13,3,老旧车
9500,2014,136128,toyota,prius v hybrid,good,4 cylinders,gas,automatic,hatchback,7,0,经济型车
12900,2014,120211,nissan,rogue sv,good,4 cylinders,gas,automatic,SUV,7,0,经济型车
6950,2011,116000,volkswagen,jetta,excellent,5 cylinders,gas,automatic,sedan,10,3,老旧车
48900,2018,43034,chevrolet,silverado 2500 hd ltz,like new,8 cylinders,diesel,automatic,truck,3,2,高端车
14700,2015,70672,honda,cr-v ex-l,excellent,4 cylinders,gas,automatic,SUV,6,1,中端车
25590,2017,31315,jeep,grand cherokee laredo sport,good,6 cylinders,other,other,SUV,4,1,中端车
39590,2017,10496,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,other,coupe,4,2,高端车
45300,2018,34125,ram,3500 big horn,excellent,6 cylinders,diesel,automatic,truck,3,2,高端车
5500,2010,114988,hyundai,accent,good,4 cylinders,gas,automatic,hatchback,11,3,老旧车
6900,2008,103550,ford,escape hev,good,4 cylinders,hybrid,automatic,SUV,13,3,老旧车
10900,2010,97804,honda,accord crosstour exl,good,6 cylinders,gas,automatic,wagon,11,3,老旧车
8900,2014,84778,fiat,500l lounge,good,4 cylinders,gas,automatic,hatchback,7,0,经济型车
